RDS_E_t           ; ORCA_E_t          ; RDS_E_v           ; ORCA_E_v          ; RDS_N_ttg         ; ORCA_N_ttg        ; RDS_N_v           ; ORCA_N_v          ; RDS_rob_track_err ; ORCA_rob_track_err; RDS_ped_track_err ; ORCA_ped_track_err; RDS_collisions    ; ORCA_collisions   
1.00001; 1; 0.993789; 0.992732; 0.999974; 0.999959; 1.20147; 0.955068; 1.85529; 6.93569; 0.191022; 0.302538; 0; 0
0.999982; 0.999902; 1.00379; 1.00626; 0.999888; 0.999834; 1.02183; 1.41116; 0.0975717; 3.42834; 0.177029; 0.200451; 0; 0
1.00003; 1.00007; 1.00435; 1.00389; 1.00003; 0.999921; 1.05512; 1.023; 0.149588; 0.896312; 0.180787; 0.223362; 0; 0
1.00017; 1.00002; 0.984714; 0.984659; 0.999673; 0.999909; 1.03552; 1.0682; 3.60934; 2.98061; 0.158131; 0.150947; 0; 0
1; 0.999856; 1.04276; 0.994214; 0.999357; 0.999972; 1.0906; 1.13849; 0.353978; 0.962702; 0.203774; 0.137204; 0; 0
1.00005; 1.00007; 1.01226; 0.996853; 0.998935; 0.999574; 1.43439; 1.3258; 1.49162; 2.39189; 0.268172; 0.26654; 0; 0
1.0003; 0.999958; 1.00266; 0.99354; 0.998924; 0.999539; 1.36393; 1.25754; 1.43916; 2.30174; 0.287381; 0.15921; 0; 0
1.00015; 1.00056; 1.00162; 1.00192; 0.99974; 0.999663; 1.22138; 1.11983; 0.975901; 1.84216; 0.204972; 0.390259; 0; 0
1.00012; 1.00009; 1.01054; 0.996484; 0.999804; 0.999905; 1.14694; 1.11147; 1.01569; 3.31578; 0.234683; 0.230413; 0; 0
1.00013; 1.00016; 1.01128; 0.975746; 0.999649; 0.99976; 0.988184; 1.28118; 2.42864; 5.81125; 0.256822; 0.285681; 0; 0
1; 1.00001; 1.00749; 0.988019; 0.999911; 1.00006; 0.999208; 1.00331; 1.27099; 2.41624; 0.226254; 0.263858; 0; 0
0.999997; 1.00001; 0.999473; 1.00186; 0.999934; 0.999906; 0.897348; 0.784453; 0.272213; 1.8288; 0.215495; 0.235399; 0; 0
1; 0.999999; 0.999932; 0.999509; 0.999662; 0.999648; 1.15054; 1.16333; 0.149512; 0.177474; 0.140402; 0.142296; 0; 0
